County Code,Deaths_per_100k,Number of Substance Use Facilities (As of March 2023),TotActiveMDs,Number of Mental Health Facilities (As of March 2023),MDsPerCapita,Urbanicity,Social Resilience Score,Economic Risk Score,Social Risk Score,Economic Resilience Score,Prosperity Index Score,lat,lng,% of households with broadband internet connection,ACS Total Population,Median Household Income,Percent of Popualtion Employed in Construction,Percent of Popualtion Employed in Manufacturing,Percent of Popualtion Employed in Mining and Natural Resources,Percent of Popualtion Employed in Trade Transporation and Utilities,Percent of Popualtion Employed in Trade Transportation and Utilities,Percent of Populaiton Black (non-Hispanic),Percent of Population 65+,Percent of Population Aged 15 to 64,Percent of Population Aged 25+ who Have a Bachelor's Degree or More,Percent of Population Aged 25+ who Have at Least a High School Diploma,Percent of Population Asian (non-Hispanic),Percent of Population Hispanic or Latino,Percent of Population Native American/Alaska Native (non-Hispanic),Percent of Population Native Hawaiian/Pacific Islander,Percent of Population Under 15,Percent of Population White (non-Hispanic),Percent of Residents with a Disability (Aged 18-64),Poverty Rate,Unemployment Rate
8065,,-0.3539783974,-0.2515655751,-0.2454878926,1.858887145,0,-1.108900648,0.2151288487,-0.6181884721,-0.3535761429,-0.8621935845,39.2025,-106.3448,0.741989356,-0.2902228194,0.311833741,0.6549718661,-1.157068571,-0.6916923663,-1.621953109,-1.65380515,-0.58436264,-1.705221241,2.484805286,1.1389719,0.5012255297,-0.229646307,1.743556985,-0.1443044118,-0.01035397383,-0.5227647305,-0.7285985963,-1.069020844,-0.7515856406,-0.5472799214
8067,,-0.08737244915,-0.05470137493,0.01466894494,0.8295495477,0,-1.967017473,-0.6914650144,-1.449126692,-2.121737696,-1.725484107,37.2866,-107.8433,0.8991126416,-0.1470043639,1.082509346,1.48155806,-0.893436493,-0.28686391,-0.1487182568,-0.1982037189,-0.5852903976,-0.6466745641,1.498940789,2.456144614,1.43506561,-0.229646307,0.2528899446,0.4486594519,-0.04589359423,-0.8847759327,0.1162734411,-1.401490648,-0.8539271794,-0.7250275153
8069,2.839537723,0.8013140449,1.351471484,0.9252178763,0.9757453224,1,-1.967017473,-0.6914650144,-1.449126692,-1.23765692,-1.725484107,40.6664,-105.4611,-0.6851324947,0.6986101214,1.238279893,0.7075423007,-0.2763747789,-0.5569292317,-0.3468945187,-0.3646687761,-0.5565299134,-0.8202191223,1.487139464,2.71283558,1.479308456,0.2288087679,0.1595548349,-0.1903598575,-0.01035397383,-0.6146685032,0.3134545477,-1.346203534,-0.4940986841,-0.3042832106
8071,,-0.1762410986,-0.1390717464,-0.3755663114,3.337751885,0,-0.2507838241,0.2151288487,1.043687967,-0.3535761429,0.001096938403,37.3158,-104.0386,0.6326862008,-0.2678106849,-0.5603091728,0.05208964855,-1.019830792,0.4117481795,0.1728507719,-0.3782182576,-0.5539785801,0.8866780039,-0.2476552455,-0.3507783562,-0.005987102634,-0.2403356741,2.399842441,-0.0521935203,-0.1288193752,-1.017027703,-1.176284428,1.013211385,0.3159237077,0.3279582313
8073,,-0.265109748,-0.2796890323,-0.2454878926,0.9747507933,0,-0.2507838241,1.121722712,-1.449126692,-1.23765692,-0.8621935845,38.9881,-103.514,0.1759551595,-0.2959318127,-0.584232977,-0.2745181576,-1.124538134,-0.6124516432,-0.2515455625,-0.2059462797,-0.009384896267,-0.1260408896,0.9460941231,-0.6375616253,-0.1534632574,-0.3757343231,0.6350494487,-0.08053533306,0.4398145513,-0.9800420385,-0.3094849215,-0.5677012082,-0.2322567685,-0.884775353
8075,,-0.265109748,-0.2515655751,-0.2454878926,0.08166368023,0,0.6073330001,0.2151288487,-0.6181884721,0.5305046338,0.001096938403,40.7247,-103.1101,1.150900267,-0.2449818954,-0.444715427,-0.2264218026,-0.7799188246,0.1945100066,0.5392898977,0.476366891,-0.5129253084,-0.3191186015,1.041412514,-0.3931976261,0.5881311209,-0.2047044506,0.52358626,-0.1000203293,0.4457378213,-0.8096838257,0.07009286175,-0.3891387745,-0.1244715308,-0.0185370785
8077,,0.2681021485,0.3109035683,0.01466894494,0.6485452553,1,-1.108900648,-0.6914650144,-0.6181884721,-1.23765692,-0.8621935845,39.0183,-108.4664,-0.8572199027,0.1491459429,0.2366699583,0.81044613,-0.6752114826,0.08669949898,0.3728966212,0.4870129121,-0.5695185191,-0.1110153867,0.1445118475,0.6353790293,0.6676629043,-0.1833257166,0.3734171728,-0.1761889511,-0.01627724389,-0.01281086988,0.250496132,-0.4436787647,-0.2491322349,0.1940850434
8079,,-0.3539783974,-0.3078124895,-0.3755663114,-0.8283304272,0,-1.967017473,0.2151288487,-1.449126692,-2.121737696,-1.725484107,37.6689,-106.9241,1.604703545,-0.3105444957,-0.0140616358,-0.2622144389,-1.157068571,-0.6916923663,-1.23681811,-1.433142167,-0.5525869438,3.305032691,-1.16361959,2.700146055,1.720010609,-0.1678855197,-0.2064363825,-0.2001023556,-0.1584357255,-3.493946455,0.6767528461,-0.02753116812,-1.135366411,-1.324644399
8081,,0.00149620026,-0.1390717464,-0.2454878926,3.749486924,0,-0.2507838241,0.2151288487,0.2127497474,-0.3535761429,0.001096938403,40.6184,-108.2074,1.189937108,-0.2721906926,0.3331246608,0.1303860404,-1.011020466,1.097962061,1.431083076,1.53032298,-0.5815793673,-1.07114502,0.5058139377,-0.3747071751,0.7350805751,-0.2629021156,0.440050112,-0.1124198724,0.3924283907,0.9723527422,0.221923975,-0.8112633563,-0.3939346249,-0.5956542665
8083,,-0.08737244915,-0.2515655751,-0.2454878926,-0.06353756532,0,-1.108900648,-0.6914650144,0.2127497474,-0.3535761429,-0.8621935845,37.3386,-108.5966,0.3769948913,-0.2334879668,-0.2322619195,0.0621563275,-0.7504381166,-0.3024964336,0.3635486843,0.0989170519,-0.5880736702,0.4374154681,-0.4963908553,0.7513975452,0.6623958988,-0.3068472912,0.2301073588,1.228944984,-0.1288193752,-0.03970953505,-0.1750961133,0.03597429994,0.1471690428,0.2210846779
8085,,-0.3539783974,-0.223442118,-0.3755663114,-0.09834608309,0,-1.108900648,-1.598058877,0.2127497474,-1.23765692,-0.8621935845,38.4022,-108.2692,0.7302783037,-0.18548029,-0.1388957928,0.9502611155,-0.2756970615,-0.3089650641,0.5748120579,0.7183219161,-0.5878417308,0.8175606907,-0.961181484,0.4040671131,0.2568364732,-0.2652775305,0.827354071,-0.1717605429,0.2739629894,-0.03186409105,-0.02027489058,-0.3898858976,-0.09997488592,0.3965823024
8087,,-0.1762410986,-0.223442118,-0.2454878926,0.2268649258,0,-0.2507838241,0.2151288487,0.2127497474,-0.3535761429,0.001096938403,40.2627,-103.8097,1.448556181,-0.2252472305,0.09781062939,0.1941416738,1.316600025,0.8586227338,-0.5974192271,-0.8098660223,-0.4145830077,-0.5978416798,-0.2667189236,-0.5411212339,-0.9393004821,-0.3579187114,1.930472178,-0.1934597432,0.04887872684,1.222286173,-0.8561765996,-0.8590792381,-0.6225699774,-0.5844044188
8089,,-0.1762410986,-0.223442118,-0.1154094738,0.7897683846,0,-0.2507838241,1.121722712,1.043687967,-0.3535761429,0.001096938403,37.9026,-103.7165,0.2101123955,-0.2555645197,-0.966279674,-0.4333479812,-0.3251704334,-0.06908668458,-0.1842404169,-0.03948122245,-0.5620964587,0.3833236577,-0.7324173464,-0.435616896,-0.09236599329,-0.2343971368,2.387348765,-0.1513898649,0.7241315145,0.3323886666,-1.128442677,0.9810850893,1.241352516,0.783577064
